mz,intensity
100.0,24.0
100.5,24.2
101.0,11.5
101.5,19.2
102.0,18.5
102.5,22.3
103.0,11.9
103.5,39.4
104.0,21.4
104.5,12.6
105.0,10.4
105.5,18.3
106.0,19.8
106.5,15.4
107.0,21.3
107.5,15.9
108.0,25.6
108.5,15.4
109.0,20.2
109.5,30.3
110.0,57.4
110.5,13.7
111.0,17.0
111.5,14.7
112.0,28.1
112.5,13.0
113.0,16.9
113.5,20.3
114.0,13.9
114.5,14.0
115.0,17.0
115.5,8.9
116.0,11.5
116.5,17.4
117.0,21.8
117.5,19.0
118.0,10.1
118.5,17.0
119.0,28.2
119.5,25.6
120.0,6841.4
120.5,14.4
121.0,26.4
121.5,16.3
122.0,12.8
122.5,14.9
123.0,36.6
123.5,22.4
124.0,32.6
124.5,16.9
125.0,29.9
125.5,16.1
126.0,19.3
126.5,55.5
127.0,27.9
127.5,16.8
128.0,19.8
128.5,23.4
129.0,33.3
129.5,16.9
130.0,10.2
130.5,18.3
131.0,20.6
131.5,21.4
132.0,34.7
132.5,23.3
133.0,28.4
133.5,13.2
134.0,29.0
134.5,47.4
135.0,27.9
135.5,22.7
136.0,21.8
136.5,41.9
137.0,14.2
137.5,19.6
138.0,24.7
138.5,27.6
139.0,17.2
139.5,23.2
140.0,18.4
140.5,21.5
141.0,19.5
141.5,13.0
142.0,20.3
142.5,29.1
143.0,13.9
143.5,18.6
144.0,26.8
144.5,13.4
145.0,22.1
145.5,13.4
146.0,32.3
146.5,51.7
147.0,46.1
147.5,18.8
148.0,27.6
148.5,21.5
149.0,21.4
149.5,38.1
150.0,12.1
150.5,31.3
151.0,20.1
151.5,36.0
152.0,22.1
152.5,15.7
153.0,22.9
153.5,27.5
154.0,20.8
154.5,24.9
155.0,16.6
155.5,8.7
156.0,29.4
156.5,27.1
157.0,21.8
157.5,21.1
158.0,31.0
158.5,17.1
159.0,15.5
159.5,19.0
160.0,33.0
160.5,11.8
161.0,33.0
161.5,15.9
162.0,13.2
162.5,34.0
163.0,19.7
163.5,12.2
164.0,17.8
164.5,29.8
165.0,33.0
165.5,17.3
166.0,24.1
166.5,27.3
167.0,15.9
167.5,23.6
168.0,20.3
168.5,16.6
169.0,16.8
169.5,21.1
170.0,20.8
170.5,16.4
171.0,17.3
171.5,32.0
172.0,22.3
172.5,29.2
173.0,33.2
173.5,26.0
174.0,50.9
174.5,14.7
175.0,28.3
175.5,6720.2
176.0,43.1
176.5,40.5
177.0,9.4
177.5,13.9
178.0,26.8
178.5,28.1
179.0,27.5
179.5,19.9
180.0,24.6
180.5,26.6
181.0,19.9
181.5,30.9
182.0,8.3
182.5,26.4
183.0,13.6
183.5,30.1
184.0,18.7
184.5,14.4
185.0,23.8
185.5,14.2
186.0,14.2
186.5,11.0
187.0,20.3
187.5,25.0
188.0,30.9
188.5,19.4
189.0,31.2
189.5,20.7
190.0,19.8
190.5,25.8
191.0,31.3
191.5,17.9
192.0,18.6
192.5,19.2
193.0,21.2
193.5,14.3
194.0,30.9
194.5,17.5
195.0,24.7
195.5,14.7
196.0,23.7
196.5,24.0
197.0,17.3
197.5,46.0
198.0,23.8
198.5,41.8
199.0,30.1
199.5,15.7
200.0,17.6
200.5,24.4
201.0,21.0
201.5,20.9
202.0,18.3
202.5,10.0
203.0,18.7
203.5,8.4
204.0,23.8
204.5,15.3
205.0,15.4
205.5,18.8
206.0,22.9
206.5,11.6
207.0,10.2
207.5,13.4
208.0,9.1
208.5,13.9
209.0,38.8
209.5,13.4
210.0,26.6
210.5,11.9
211.0,23.1
211.5,18.0
212.0,20.0
212.5,25.8
213.0,41.4
213.5,22.2
214.0,21.6
214.5,13.9
215.0,25.9
215.5,18.6
216.0,28.6
216.5,20.2
217.0,41.2
217.5,9.3
218.0,18.2
218.5,29.2
219.0,17.8
219.5,14.9
220.0,18.4
220.5,11.8
221.0,21.5
221.5,54.4
222.0,32.4
222.5,13.2
223.0,14.5
223.5,17.4
224.0,30.7
224.5,14.8
225.0,15.6
225.5,29.2
226.0,29.0
226.5,17.7
227.0,13.1
227.5,11.0
228.0,15.5
228.5,8.4
229.0,27.7
229.5,15.9
230.0,24.9
230.5,43.3
231.0,32.8
231.5,12.9
232.0,29.0
232.5,32.6
233.0,15.2
233.5,14.0
234.0,19.6
234.5,10.8
235.0,36.9
235.5,7.8
236.0,13.2
236.5,18.4
237.0,18.7
237.5,21.9
238.0,22.9
238.5,18.8
239.0,32.3
239.5,8.7
240.0,20.5
240.5,15.4
241.0,21.6
241.5,22.4
242.0,14.2
242.5,15.9
243.0,28.2
243.5,23.6
244.0,15.6
244.5,46.4
245.0,51.7
245.5,11.4
246.0,23.1
246.5,56.0
247.0,28.1
247.5,22.4
248.0,18.9
248.5,16.5
249.0,18.8
249.5,16.5
250.0,27.6
250.5,17.5
251.0,17.2
251.5,12.7
252.0,20.1
252.5,14.3
253.0,19.1
253.5,31.1
254.0,23.7
254.5,25.1
255.0,23.7
255.5,21.0
256.0,19.5
256.5,18.1
257.0,27.8
257.5,13.3
258.0,35.1
258.5,20.8
259.0,15.2
259.5,16.9
260.0,15.6
260.5,21.9
261.0,15.4
261.5,32.4
262.0,15.0
262.5,8.3
263.0,15.3
263.5,9.2
264.0,20.2
264.5,31.3
265.0,26.6
265.5,12.0
266.0,15.1
266.5,41.8
267.0,23.3
267.5,20.5
268.0,31.3
268.5,54.7
269.0,34.5
269.5,21.7
270.0,23.6
270.5,26.3
271.0,16.1
271.5,13.4
272.0,20.9
272.5,14.0
273.0,20.0
273.5,21.3
274.0,52.3
274.5,14.6
275.0,19.5
275.5,19.2
276.0,24.4
276.5,31.2
277.0,16.9
277.5,14.8
278.0,10.6
278.5,14.2
279.0,25.4
279.5,20.9
280.0,13.7
280.5,17.7
281.0,20.8
281.5,25.1
282.0,16.2
282.5,18.6
283.0,9.9
283.5,12.9
284.0,39.2
284.5,8.5
285.0,17.9
285.5,22.4
286.0,17.7
286.5,14.8
287.0,20.0
287.5,20.5
288.0,19.8
288.5,9.7
289.0,19.3
289.5,14.6
290.0,16.5
290.5,22.5
291.0,26.5
291.5,29.4
292.0,16.8
292.5,29.7
293.0,32.8
293.5,32.3
294.0,35.8
294.5,19.4
295.0,19.1
295.5,28.5
296.0,11.9
296.5,22.3
297.0,16.6
297.5,17.7
298.0,10.2
298.5,14.4
299.0,20.3
299.5,29.3
300.0,30.5
