mz,intensity
100.0,18.7
100.5,23.7
101.0,12.6
101.5,28.3
102.0,20.9
102.5,25.1
103.0,15.9
103.5,25.5
104.0,15.6
104.5,30.4
105.0,32.6
105.5,29.9
106.0,25.5
106.5,26.7
107.0,7.0
107.5,29.0
108.0,18.6
108.5,21.5
109.0,18.5
109.5,11.9
110.0,16.7
110.5,27.0
111.0,36.6
111.5,16.2
112.0,14.4
112.5,37.1
113.0,14.6
113.5,47.5
114.0,21.2
114.5,14.6
115.0,30.7
115.5,40.8
116.0,11.7
116.5,38.7
117.0,18.5
117.5,37.6
118.0,17.8
118.5,11.0
119.0,25.4
119.5,30.0
120.0,48.0
120.5,41.3
121.0,27.4
121.5,18.9
122.0,16.8
122.5,18.4
123.0,14.9
123.5,18.6
124.0,7.5
124.5,22.3
125.0,20.5
125.5,57.9
126.0,28.1
126.5,17.1
127.0,26.0
127.5,12.7
128.0,16.3
128.5,9.8
129.0,36.8
129.5,26.3
130.0,13.0
130.5,20.2
131.0,30.3
131.5,25.3
132.0,24.2
132.5,14.7
133.0,16.1
133.5,21.5
134.0,30.0
134.5,14.9
135.0,13.2
135.5,32.8
136.0,14.3
136.5,31.9
137.0,22.9
137.5,29.5
138.0,41.7
138.5,27.3
139.0,28.3
139.5,14.4
140.0,15.7
140.5,26.8
141.0,38.3
141.5,36.2
142.0,52.4
142.5,23.5
143.0,22.5
143.5,31.0
144.0,20.9
144.5,20.2
145.0,9088.2
145.5,30.8
146.0,13.5
146.5,25.5
147.0,11.8
147.5,32.2
148.0,13.7
148.5,29.1
149.0,11.0
149.5,17.4
150.0,33.2
150.5,15.0
151.0,21.3
151.5,17.1
152.0,8.2
152.5,23.5
153.0,24.7
153.5,13.3
154.0,26.1
154.5,15.1
155.0,13.9
155.5,20.8
156.0,15.8
156.5,51.9
157.0,11.1
157.5,27.9
158.0,30.8
158.5,9.4
159.0,10.4
159.5,26.0
160.0,17.1
160.5,24.2
161.0,32.7
161.5,17.9
162.0,13.6
162.5,7.0
163.0,22.5
163.5,14.3
164.0,23.5
164.5,22.8
165.0,11.9
165.5,41.3
166.0,32.0
166.5,29.1
167.0,12.9
167.5,17.6
168.0,16.7
168.5,17.6
169.0,13.2
169.5,24.7
170.0,22.7
170.5,24.0
171.0,16.9
171.5,34.8
172.0,22.4
172.5,6.9
173.0,16.1
173.5,20.3
174.0,30.5
174.5,18.4
